arxiv_id,title,published,updated,categories,abstract,pdf_url
2606.19332v1,Sparse-dense flight copy-based interactive mechanism to airline integrated with cruise speed control,2026-06-17T17:57:34Z,2026-06-17T17:57:34Z,math.OC,"Flight recovery, aircraft rerouting, and passenger reallocation are critical in airline recovery. To preserve their interdependence that is neglected by the regular sequential recovery, we consider these recovery phases from an integration perspective. In addition, we incorporate cruise speed control to enhance the recovery performance. While using flight copies is a common modelling method in airline disruption management, the resulting integrated mathematical model is challenging to solve in real time due to the large number of flight copies, especially when considering cruise speed control. This paper introduces a new sparse-dense flight copy approach and proposes an innovative interactive mechanism that alternately adjusts aircraft routes on the sparse flight copy-based network and reallocates passenger itineraries on the dense flight copy-based network. Under the interactive mechanism, the involved sparse and dense networks are much smaller than those in the conventional flight copy approach. To implement such a mechanism, we develop an integrated flight, aircraft, and passenger recovery model (IFAPRM) and propose a customized Benders decomposition (CBD) to solve the model. Besides, we further propose some acceleration techniques to speed up the CBD method, including an effective feasibility certificate, scale management, and valid inequalities. Computational experiments on real-world data demonstrate that the sparse-dense flight copy-based interactive mechanism outperforms the conventional flight copy approach. In essence, the proposed interactive mechanism, along with its corresponding modelling method, algorithm, and acceleration techniques, provides a comprehensive methodology and a general decision-support framework for integrated rescheduling problems in complex operations, with potential applications in logistics, transportation, and beyond.",https://arxiv.org/pdf/2606.19332v1
2606.19326v1,Rigorous analysis for the Dirac system on the quarter-plane,2026-06-17T17:53:56Z,2026-06-17T17:53:56Z,math.AP; math-ph; math.CV,"Considered and analyzed below are fully non-homogeneous initial-boundary-value problems for the celebrated Dirac system, formulated on the spatial half-line. Analytical solution formulae are derived formally via suitable implementation of the well-known Fokas' unified transform methodology, and rigorously verified a posteriori. The latter substantial task relies on complex-analytic tools and careful interpretation of the obtained integral representations. These valid solutions are then used for investigating qualitative properties. These include boundary behavior near the axes of the domain as well as long-range asymptotics and long-time (eventual) periodicity. Notably, smoothness of the solution, both within and upto the boundary of the domain, depends heavily on certain compatibility conditions between initial, boundary and forcing data. Further results pertaining to solution's regularity and uniqueness are thence established based on the qualitative theory. The closed-form expressions reported here are also useful in the study of non-linear counterparts.",https://arxiv.org/pdf/2606.19326v1
2606.19323v1,Cohomogeneity one actions on symmetric spaces of mixed type,2026-06-17T17:50:04Z,2026-06-17T17:50:04Z,math.DG,"In this article, we study isometric cohomogeneity-one actions on symmetric spaces of mixed type, i.e., those whose universal cover splits as a nontrivial product of symmetric spaces of compact, noncompact, and Euclidean types. We provide a new family of ""diagonal"" cohomogeneity-one actions on symmetric spaces of the form $\mathbb{R}^n \times M_-$, where $M_-$ is of noncompact type. We show that, with the exception of this family, any cohomogeneity-one action on a symmetric space decomposes as a product of isometric actions on its compact, Euclidean, and noncompact factors. This fully reduces the classification problem for cohomogeneity-one actions to symmetric spaces of a single type.",https://arxiv.org/pdf/2606.19323v1
2606.19322v1,Existential Inclusions of Bi-exact Groups are Conjugacy Representation Rigid,2026-06-17T17:49:15Z,2026-06-17T17:49:15Z,math.GR; math.LO; math.OA,"If $Λ$ is a non-amenable bi-exact group and $Λ\hookrightarrow Γ$ is an existential embedding, then each of the intersections $Λ\cap g Λg^{-1}$ for $g$ a member of $Γ\backslash Λ$ is amenable. This in conjunction with work of Bekka and Kalantar demonstrates that in this situation, the weak equivalence class of the quasi-regular representation $λ_{Γ/Λ}$ determines $Λ$ up to conjugacy among the self-commensurating subgroups of $Γ$.",https://arxiv.org/pdf/2606.19322v1
2606.19313v1,Stability of Khintchine-type inequalities via log-monotonicity,2026-06-17T17:34:52Z,2026-06-17T17:34:52Z,math.PR,"We investigate Khintchine-type inequalities for the weighted sums $S=\sum_ka_kX_k$ of independent copies of a symmetric random variable $X$. We show how log-monotonicity of the sequence $r_k(X)=k! \mathbb{E}[X^{2k}]/(2k)!$ implies sharp comparisons between the $L_p$ and $L_2$ norms of $S$ for every even integer $p\geq 2$, extending classic Khintchine-type inequalities and yielding new results in the log-convex setting. We also investigate the stability of our inequalities. Our first stability inequality sharpens the classic inequality by a deviation of the coefficient vector from the coordinate extremizers, while the second quantifies deviation from the Gaussian limit. Our results recover recent stability inequalities for random signs and apply to a broad class of distributions, including type-$\mathscr{L}$ random variables, ultra sub-Gaussian random variables and Gaussian mixtures.",https://arxiv.org/pdf/2606.19313v1
2606.19309v1,Norm inflation for the cubic hyperbolic NLS on $\mathbb T^2$,2026-06-17T17:31:21Z,2026-06-17T17:31:21Z,math.AP,"We prove norm inflation for the cubic hyperbolic nonlinear Schrödinger equation in $H^s(\mathbb T^2)$ for every $s\in(-\infty,0)\cup(0,\frac12]$. The scaling-critical point $s=0$ is excluded by conservation of the $L^2$ norm. The strong ill-posedness below and above the scaling-critical point arises from two completely different mechanisms. Particularly in the scaling-subcritical regime, this dynamical instability stems from the hyperbolic nature. Together with the local well-posedness result in \cite{WangHNLS}, this gives a sharp dichotomy away from the mass space $L^2(\mathbb T^2)$: local well-posedness holds for $s>\frac12$, whereas norm inflation occurs for all $s\le \frac12$ with $s\ne0$.",https://arxiv.org/pdf/2606.19309v1
2606.19306v1,On two overlooked stick-breaking constructions of the normalized inverse Gaussian process,2026-06-17T17:29:18Z,2026-06-17T17:29:18Z,math.PR; math.ST,"We shed light on two alternative stick-breaking constructions of the normalized inverse Gaussian (NIG) random discrete distribution which appear to have been overlooked so far in the Bayesian nonparametric setting. The first is derived from a result in Aldous and Pitman (1998) for the conditional Brownian excursion partition, mixing over the local time at zero up to time one. The second arises as a particular case of a result in James (2013) for priors obtained by a random spatial and temporal change of the normalized generalized Gamma subordinator. Both constructions are in terms of straightforward transformations of standard random variables and can be easily generalized to provide the stick-breaking construction of any element, respectively, in a) the family of mixed Poisson-Kingman models driven by the $1/2$ stable Lévy measure and b) the family of Poisson-Gamma processes driven by the Inverse Gaussian subordinator.",https://arxiv.org/pdf/2606.19306v1
2606.19298v1,Secretary Problem Thresholds and Convergents of $1/e$,2026-06-17T17:23:31Z,2026-06-17T17:23:31Z,math.PR; math.NT,"We prove that if $p/q$ is a continued fraction convergent of $1/e$ with $q\geq 3$, then, for the secretary problem with $q$ applicants, the optimal number of initially rejected applicants is $p$.",https://arxiv.org/pdf/2606.19298v1
2606.19296v1,Integrated physics-based modeling reveals a thermodynamic gap in small modular reactor load following,2026-06-17T17:17:24Z,2026-06-17T17:17:24Z,eess.SY; math.DS,"Small modular reactors (SMRs) are increasingly considered for flexible power generation; however, many dynamic studies still neglect the thermodynamic coupling between the primary and secondary loops that is essential for accurate assessment of load-following capability. In this study, we develop a hybrid dynamic framework that couples an equation-based model of the NuScale integral pressurized water reactor, including the reactor, primary loop, and moving-boundary helical-coil once-through steam generator, with a physics-based secondary steam cycle comprising the valve, turbine, condenser, and feedwater pump. This approach enforces mass and energy conservation across the coupled system while preserving physically consistent flow interactions across the domain boundary. The integrated model reproduces nominal design-point conditions and is used to analyze a 5% step load rejection under five control strategies, including a decentralized three-loop control architecture for the valve, feedwater pump, and control rods. The results show that partial control strategies are insufficient for efficient and safe operation, whereas simultaneous action of all three actuators stabilizes steam pressure, limits adverse thermal excursions in the primary loop and maintains acceptable steam generator operating margins during load-following maneuvers. Compared with a conventional linear steam-cycle representation, the coupled framework captures dynamic back-pressure and variable turbine enthalpy drop that are otherwise neglected, leading to different predictions of transient behavior and required steam flow. These findings show that thermodynamically coupled, physics-based steam-cycle models are needed for more accurate assessment of the operational flexibility, efficiency and safety margins of SMRs under realistic load-following conditions.",https://arxiv.org/pdf/2606.19296v1
2606.19289v1,The Parabolic Harnack Inequality on Weighted Riemannian Manifolds,2026-06-17T17:11:14Z,2026-06-17T17:11:14Z,math.AP,We establish the parabolic Harnack inequality on weighted Riemannian manifolds for a large class of parabolic differential operators building on an approach due to Alexander Grigor'yan.,https://arxiv.org/pdf/2606.19289v1
2606.19288v1,Two weight estimates for difference quotients,2026-06-17T17:09:38Z,2026-06-17T17:09:38Z,math.CA; math.AP; math.FA,We prove local and global two weight estimates in which we bound difference quotients of a function in terms of certain weighted $L^p$ norms of its gradient.,https://arxiv.org/pdf/2606.19288v1
2606.19284v1,Projected Stochastic Gradient Descent with Decision Dependent Distributions: Extended Version,2026-06-17T17:03:50Z,2026-06-17T17:03:50Z,math.OC,"Online feedback optimization (OFO) leverages real-time output measurements to optimize the operation of networked systems without requiring full knowledge of system dynamics or disturbances. We develop an OFO approach for constrained stochastic optimization problems in which the distribution of the system's random parameters shifts in response to the control actions. We propose a projected primal-dual algorithm where the true dual constraint sets are replaced by surrogate sets. Our main result is an upper bound on the mean-square tracking error, which decomposes into four interpretable terms reflecting: (i) the stochasticity of the problem, (ii) output measurement errors, (iii) time-variability of the problem, and (iv) the mismatch between surrogate and true dual constraint sets. The theory is illustrated in a numerical experiment for power grids with price-responsive assets.",https://arxiv.org/pdf/2606.19284v1
2606.19279v1,NeSyCat Torch: A Differentiable Tensor Implementation of Categorical Semantics for Neurosymbolic Learning,2026-06-17T16:56:31Z,2026-06-17T16:56:31Z,cs.AI; cs.LG; cs.LO; math.CT; math.LO; math.PR,"Neurosymbolic semantics is fragmented: classical, fuzzy, probabilistic and neural systems each define truth by their own inductive rules. NeSyCat, extending ULLER, subsumes them under a single inductive definition of truth, parametric in a strong monad and an aggregation structure on truth-values. NeSyCat has so far lacked an account of predicates and functions learned by neural networks. We provide NeSyCat Torch as the missing link and interpret computational symbols via neural networks, implementing the framework in probabilistic programming and tensor-based backends. We use the distribution monad for reference semantics and metric evaluation, and complement it by a monad for numerically stable, differentiable training: the lazy log-tensor monad over the log-semiring. For efficient training in batches, we furthermore employ a batch monad. The axioms are the source code: written once in monad-based do-notation, monadic bind performs marginalisation, lazily pruning unneeded branches. On MNIST addition, our HaskTorch, JAX, and PyTorch implementations outperform LTN and DeepProbLog in speed and accuracy, while achieving nearly the accuracy of DeepStochLog. However, unlike DeepStochLog, we stay in a uniform framework that applies to many first-order NeSy approaches. Namely, the construction is parametric in the monad; instantiating it with, e.g., the Giry monad extends the approach to continuous probability (working out a neural representation here is left for future work).",https://arxiv.org/pdf/2606.19279v1
2606.19278v1,Sequential Fair Allocation and Routing in Nonprofit Operations,2026-06-17T16:53:58Z,2026-06-17T16:53:58Z,math.OC,"We study a dynamic fair sequential allocation problem in which a central planner distributes a divisible resource across multiple locations under demand uncertainty. Motivated by applications such as humanitarian relief and food distribution, we incorporate routing decisions into the planner's problem and jointly optimize allocation and visitation order under two max-min fairness objectives, ex-post and forward. We first reveal an equating property of the optimal allocation for any fixed visitation order. This property is crucial to establish that the optimal allocation follows a threshold structure: at each location, demand is fully satisfied when sufficiently low and otherwise met proportionally. We then characterize the optimal routing policy and show that, under certain conditions, visiting locations in decreasing order of coefficient of variation (CV) of demand is optimal. Building on this insight, we propose a simple heuristic, PPA-deCV, which closely approximates the fairness-efficiency frontier of the jointly optimal policy. Next, through extensive numerical experiments, we compare multiple fairness objectives across different fairness metrics, demonstrating that improvements in surrogate max-min objectives do not necessarily translate into improvements in fairness metrics. Furthermore, we identify which objective is aligned with which fairness metric, providing practical guidance on objective selection to achieve fairness-efficiency trade-offs.",https://arxiv.org/pdf/2606.19278v1
2606.19268v1,Patnaik-Pearson intrinsic dimension for internal representations of neural networks,2026-06-17T16:44:32Z,2026-06-17T16:44:32Z,math.ST; cs.CG,"We define a new measure of intrinsic dimension of a data manifold, which we call the Patnaik-Pearson dimension, and apply this to internal representations of neural networks, in particular transformers. The inspiration for this comes from the HTSR and SETOL work of Martin, Mahoney and Hinrichs, combined with the TwoNN intrinsic dimension estimator of Facco et al. We prove various properties of this intrinsic dimension estimator. Treating weight matrices of neural networks as data manifolds, for weight matrices whose Empirical Spectral Density follows a Pareto (Power Law) distribution, we relate the Patnaik-Pearson dimension to the HTSR and SETOL analysis, and show that critical values of the tail exponent coincide for the two approaches. Using a combination of theoretical and numerical techniques, we study the behaviour of the Patnaik-Pearson dimension of a data manifold under the transformations typical to neural networks. We apply this machinery to the BERT-base and DeepSeek-R1-Distill-Qwen-1 models, to investigate first the Patnaik-Pearson dimension of the initial data manifold of token embeddings, and second the evolution of the Patnaik-Pearson dimension as token embeddings pass through the layers of the model. Code and notebooks used for the numerical results presented here is available at https://github.com/tdhadfield/PatnaikPearson",https://arxiv.org/pdf/2606.19268v1
2606.19260v1,Dynamics of simply parabolic inner functions,2026-06-17T16:37:42Z,2026-06-17T16:37:42Z,math.DS; math.CV,"We study the dynamics of Polya-Szegö inner functions and discuss some of their basic properties such as equivalent conditions for simple and double parabolicity. We show that a simply parabolic Polya-Szegö inner function admits forward and backward quotient half-cylinders, which allows one to enrich its dynamics with a Lavaurs map. To proceed, we restrict our attention to simply parabolic inner functions with finite Lyapunov exponent: $\int_{\mathbb{R}} \log |F'| d\ell < \infty$. We define a geodesic flow on the Riemann surface lamination associated to the Lavaurs semigroup and show that it is ergodic. As an application, we establish the Orbit Counting Theorem up to a Cesàro average for Lavaurs semigroups. If we additionally assume that $F$ is a parabolic one component inner function, then the geodesic flow is mixing and the full Orbit Counting Theorem holds.",https://arxiv.org/pdf/2606.19260v1
2606.19250v1,Local and global well-posedness for the extended Schrödinger-Benjamin-Ono system,2026-06-17T16:27:25Z,2026-06-17T16:27:25Z,math.AP,"We study the well-posedness problem for the extended Schrödinger-Benjamin-Ono system (eSBO) on the real line. This system couples a Schrödinger field $u$ with a Benjamin-Ono type field $v$, including a term of the form $\partial_{x}(v^2)$. This latter term, just as in the case of the Benjamin-Ono equation, causes the system to become quasilinear and unsolvable via Picard iteration. We prove that eSBO is locally well-posed in $H^{s+\frac 12}(\mathbb{R})\times H^{s}(\mathbb{R})$ for any $s\geq 0$. In particular, this result covers the energy space at $s=\frac 12$, yielding global well-posedness in $H^{1}(\mathbb{R})\times H^{\frac 12}(\mathbb{R})$ with a small $L^2$-assumption on the Schrödinger part of the initial data.",https://arxiv.org/pdf/2606.19250v1
