rank,symbol,frequency
1,a,863
2,n,108
3,\mathbb,95
4,A,73
5,\mathcal,68
6,s,66
7,p,56
8,x,53
9,q,48
10,t,40
11,M,39
12,N,39
13,G,38
14,C,37
15,u,37
16,X,32
17,\frac,32
18,r,31
19,B,30
20,I,29
21,R,29
22,\in,29
23,\mathrm,29
24,d,29
25,m,28
26,b,27
27,k,27
28,H,26
29,g,22
30,y,22
31,L,21
32,Z,21
33,Q,20
34,S,20
35,\le,20
36,\ell,19
37,\geq,19
38,E,18
39,O,18
40,\varepsilon,18
41,D,17
42,T,16
43,\infty,16
44,\log,16
45,\sqrt,16
46,\boldsymbol,15
47,\times,15
48,f,15
49,z,15
50,\mathscr,14
51,\left,13
52,\mathbf,13
53,\right,13
54,e,13
55,P,12
56,\to,12
57,\leq,11
58,F,9
59,\operatorname,9
60,i,9
61,v,9
62,\ge,8
63,\mathfrak,8
64,V,7
65,\text,6
66,\varphi,6
67,c,6
68,o,6
69,K,5
70,U,5
71,\bar,5
72,\cdot,5
73,\cite,5
74,\exp,5
75,\hat,5
76,\tilde,5
77,\widehat,5
78,J,4
79,Y,4
80,\geqslant,4
81,\leqslant,4
82,\mapsto,4
83,\max,4
84,\oplus,4
85,\partial,4
86,\stackrel,4
87,\vee,4
88,\vert,4
89,w,4
90,\C,3
91,\Sc,3
92,\backslash,3
93,\cong,3
94,\cup,3
95,\emph,3
96,\end,3
97,\forall,3
98,\ldots,3
99,\lesssim,3
100,\quad,3
