arxiv_id,concept_iri,canonical_label,usage_context,extraction_rule
2606.19332v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E1301,Operation,"and a general decision-support framework for integrated rescheduling problems in complex operations, with potential applications in logistics, transportation, and beyond.",MathEntRuler lexical concept match
2606.19332v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E1315,Addition,"equential recovery, we consider these recovery phases from an integration perspective. In addition, we incorporate cruise speed control to enhance the recovery performance. While using flight copies is a comm",MathEntRuler lexical concept match
2606.19332v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E2114,Number,"lting integrated mathematical model is challenging to solve in real time due to the large number of flight copies, especially when considering cruise speed control. This paper introduces a new sparse-dense",MathEntRuler lexical concept match
2606.19332v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E1168,Line,"Sparse-dense flight copy-based interactive mechanism to airline integrated with cruise speed control Flight recovery, aircraft rerouting, and passenger reallocation are crit",MathEntRuler lexical concept match
2606.19332v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E449,Method,"trol to enhance the recovery performance. While using flight copies is a common modelling method in airline disruption management, the resulting integrated mathematical model is challenging to solve in real",MathEntRuler lexical concept match
2606.19332v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E2271,Ring,"ng to solve in real time due to the large number of flight copies, especially when considering cruise speed control. This paper introduces a new sparse-dense flight copy approach and proposes an innovativ",MathEntRuler lexical concept match
2606.19326v1,http://example.org/mathkg/Expression,Expression,ty and uniqueness are thence established based on the qualitative theory. The closed-form expressions reported here are also useful in the study of non-linear counterparts.,MathEntRuler lexical concept match
2606.19326v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E1988,Formula,"re fully non-homogeneous initial-boundary-value problems for the celebrated Dirac system, formulated on the spatial half-line. Analytical solution formulae are derived formally via suitable implementation of",MathEntRuler lexical concept match
2606.19326v1,http://example.org/mathkg/Integral,Integral,stantial task relies on complex-analytic tools and careful interpretation of the obtained integral representations. These valid solutions are then used for investigating qualitative properties. These include,MathEntRuler lexical concept match
2606.19326v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E1168,Line,"l-boundary-value problems for the celebrated Dirac system, formulated on the spatial half-line. Analytical solution formulae are derived formally via suitable implementation of the well-known Fokas' unifi",MathEntRuler lexical concept match
2606.19326v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E449,Method,"e derived formally via suitable implementation of the well-known Fokas' unified transform methodology, and rigorously verified a posteriori. The latter substantial task relies on complex-analytic tools and",MathEntRuler lexical concept match
2606.19322v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E2145,Group,Existential Inclusions of Bi-exact Groups are Conjugacy Representation Rigid If $Λ$ is a non-amenable bi-exact group and $Λ\hookrightarrow Γ$ is an ex,MathEntRuler lexical concept match
2606.19322v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E1349,Embedding,"Rigid If $Λ$ is a non-amenable bi-exact group and $Λ\hookrightarrow Γ$ is an existential embedding, then each of the intersections $Λ\cap g Λg^{-1}$ for $g$ a member of $Γ\backslash Λ$ is amenable. This in co",MathEntRuler lexical concept match
2606.19322v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E1310,Intersection,"ble bi-exact group and $Λ\hookrightarrow Γ$ is an existential embedding, then each of the intersections $Λ\cap g Λg^{-1}$ for $g$ a member of $Γ\backslash Λ$ is amenable. This in conjunction with work of Bekka an",MathEntRuler lexical concept match
2606.19313v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E847,Set,extending classic Khintchine-type inequalities and yielding new results in the log-convex setting. We also investigate the stability of our inequalities. Our first stability inequality sharpens the class,MathEntRuler lexical concept match
2606.19313v1,http://example.org/mathkg/Equality,Equality,"vex setting. We also investigate the stability of our inequalities. Our first stability inequality sharpens the classic inequality by a deviation of the coefficient vector from the coordinate extremizers, whi",MathEntRuler lexical concept match
2606.19313v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E1202,Inequality,"onvex setting. We also investigate the stability of our inequalities. Our first stability inequality sharpens the classic inequality by a deviation of the coefficient vector from the coordinate extremizers, whi",MathEntRuler lexical concept match
2606.19313v1,http://example.org/mathkg/Integer,Integer,"/(2k)!$ implies sharp comparisons between the $L_p$ and $L_2$ norms of $S$ for every even integer $p\geq 2$, extending classic Khintchine-type inequalities and yielding new results in the log-convex setting.",MathEntRuler lexical concept match
2606.19313v1,http://example.org/mathkg/Variable,Variable,lities for the weighted sums $S=\sum_ka_kX_k$ of independent copies of a symmetric random variable $X$. We show how log-monotonicity of the sequence $r_k(X)=k! \mathbb{E}[X^{2k}]/(2k)!$ implies sharp comparis,MathEntRuler lexical concept match
2606.19313v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E2129,Coefficient,"ies. Our first stability inequality sharpens the classic inequality by a deviation of the coefficient vector from the coordinate extremizers, while the second quantifies deviation from the Gaussian limit. Our re",MathEntRuler lexical concept match
2606.19313v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E1693,Vector,"st stability inequality sharpens the classic inequality by a deviation of the coefficient vector from the coordinate extremizers, while the second quantifies deviation from the Gaussian limit. Our results r",MathEntRuler lexical concept match
2606.19313v1,http://example.org/mathkg/Limit,Limit,"from the coordinate extremizers, while the second quantifies deviation from the Gaussian limit. Our results recover recent stability inequalities for random signs and apply to a broad class of distributio",MathEntRuler lexical concept match
2606.19313v1,http://example.org/mathkg/Sequence,Sequence,ndependent copies of a symmetric random variable $X$. We show how log-monotonicity of the sequence $r_k(X)=k! \mathbb{E}[X^{2k}]/(2k)!$ implies sharp comparisons between the $L_p$ and $L_2$ norms of $S$ for e,MathEntRuler lexical concept match
2606.19313v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E2122,Even integer,"{2k}]/(2k)!$ implies sharp comparisons between the $L_p$ and $L_2$ norms of $S$ for every even integer $p\geq 2$, extending classic Khintchine-type inequalities and yielding new results in the log-convex setting.",MathEntRuler lexical concept match
2606.19313v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E1317,Comparison,"w how log-monotonicity of the sequence $r_k(X)=k! \mathbb{E}[X^{2k}]/(2k)!$ implies sharp comparisons between the $L_p$ and $L_2$ norms of $S$ for every even integer $p\geq 2$, extending classic Khintchine-type",MathEntRuler lexical concept match
2606.19309v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E1891,Equation,"S on $\mathbb T^2$ We prove norm inflation for the cubic hyperbolic nonlinear Schrödinger equation in $H^s(\mathbb T^2)$ for every $s\in(-\infty,0)\cup(0,\frac12]$. The scaling-critical point $s=0$ is exclude",MathEntRuler lexical concept match
2606.19309v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E293,Point,"on in $H^s(\mathbb T^2)$ for every $s\in(-\infty,0)\cup(0,\frac12]$. The scaling-critical point $s=0$ is excluded by conservation of the $L^2$ norm. The strong ill-posedness below and above the scaling-cri",MathEntRuler lexical concept match
2606.19309v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E1168,Line,"cubic hyperbolic NLS on $\mathbb T^2$ We prove norm inflation for the cubic hyperbolic nonlinear Schrödinger equation in $H^s(\mathbb T^2)$ for every $s\in(-\infty,0)\cup(0,\frac12]$. The scaling-critical",MathEntRuler lexical concept match
2606.19306v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E847,Set,te distribution which appear to have been overlooked so far in the Bayesian nonparametric setting. The first is derived from a result in Aldous and Pitman (1998) for the conditional Brownian excursion pa,MathEntRuler lexical concept match
2606.19306v1,http://example.org/mathkg/Element,Element,"variables and can be easily generalized to provide the stick-breaking construction of any element, respectively, in a) the family of mixed Poisson-Kingman models driven by the $1/2$ stable Lévy measure and b",MathEntRuler lexical concept match
2606.19306v1,http://example.org/mathkg/Variable,Variable,"or. Both constructions are in terms of straightforward transformations of standard random variables and can be easily generalized to provide the stick-breaking construction of any element, respectively, in a)",MathEntRuler lexical concept match
2606.19298v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E2114,Number,"of $1/e$ with $q\geq 3$, then, for the secretary problem with $q$ applicants, the optimal number of initially rejected applicants is $p$.",MathEntRuler lexical concept match
2606.19296v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E1301,Operation,"The results show that partial control strategies are insufficient for efficient and safe operation, whereas simultaneous action of all three actuators stabilizes steam pressure, limits adverse thermal excursi",MathEntRuler lexical concept match
