"query_file","dataset","response_time_ms","result_count","status"
"01_list_all_concepts.rq","mathkg500_clean","170.884","503","completed_fuseki_clean"
"02_concepts_missing_definitions.rq","mathkg500_clean","15.334","0","completed_fuseki_clean"
"03_concepts_by_type.rq","mathkg500_clean","53.959","503","completed_fuseki_clean"
"04_kind_role_lookup.rq","mathkg500_clean","43.652","503","completed_fuseki_clean"
"05_provenance_trace.rq","mathkg500_clean","83.081","503","completed_fuseki_clean"
"06_relation_properties.rq","mathkg500_clean","7.767","1","completed_fuseki_clean"
"07_alt_labels_synonyms.rq","mathkg500_clean","71.567","914","completed_fuseki_clean"
"08_accessibility_notes.rq","mathkg500_clean","43.546","503","completed_fuseki_clean"
"09_provisional_mappings.rq","mathkg500_clean","25.357","0","completed_fuseki_clean"
"10_hierarchy_traversal.rq","mathkg500_clean","8.446","0","completed_fuseki_clean"
