metric	metric_value	metric_type
abox_axiom_count	30	single_value
abox_axiom_count_incl	30	single_value
annotation_property_count	20	single_value
annotation_property_count_incl	20	single_value
axiom_count	6893	single_value
axiom_count_incl	6893	single_value
class_count	916	single_value
class_count_incl	916	single_value
dataproperty_count	3	single_value
dataproperty_count_incl	3	single_value
datatypes_count	2	single_value
datatypes_count_incl	2	single_value
individual_count	13	single_value
individual_count_incl	13	single_value
logical_axiom_count	1325	single_value
logical_axiom_count_incl	1325	single_value
obj_property_count	7	single_value
obj_property_count_incl	7	single_value
ontology_anno_count	6	single_value
ontology_iri	http://ontomathpro.org/ontomathedu#	single_value
ontology_version_iri	no.iri	single_value
owl2	true	single_value
owl2_dl	true	single_value
owl2_el	false	single_value
owl2_ql	false	single_value
owl2_rl	false	single_value
rbox_axiom_count	7	single_value
rbox_axiom_count_incl	7	single_value
rdfs	false	single_value
rule_count	0	single_value
rule_count_incl	0	single_value
signature_entity_count	961	single_value
signature_entity_count_incl	961	single_value
tbox_axiom_count	1288	single_value
tbox_axiom_count_incl	1288	single_value
tboxrbox_axiom_count	1295	single_value
tboxrbox_axiom_count_incl	1295	single_value
